image mean_l var_l entropy e_r e_g e_b clip tile PSNR SSIM
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.9 10 22.7159 0.9149
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.9 12 22.4089 0.9191
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.9 14 22.3867 0.9118
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.9 16 22.9526 0.9175
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.9 18 23.1188 0.9209
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.9 20 22.3098 0.9059
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.9 22 22.4290 0.9214
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 1.0 2 25.8565 0.9315
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 1.0 4 23.3487 0.9179
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 1.0 6 23.2386 0.9142
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 1.0 8 22.8429 0.9136
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 1.0 10 22.8477 0.9093
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 1.0 12 22.6440 0.9124
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 1.0 14 22.3867 0.9118
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 1.0 16 22.9526 0.9175
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 1.0 18 23.1188 0.9209
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 1.0 20 22.3098 0.9059
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 1.0 22 23.1422 0.8963
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.1 2 12.3595 0.7457
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.1 4 12.2819 0.7450
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.1 6 12.2411 0.7449
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.1 8 12.0892 0.7421
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.1 10 12.0714 0.7431
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.1 12 11.7064 0.7382
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.1 14 11.5514 0.7379
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.1 16 12.0952 0.7467
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.1 18 11.9854 0.7470
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.1 20 10.7822 0.7305
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.1 22 12.0681 0.7508
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.2 2 12.6050 0.7509
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.2 4 12.4809 0.7498
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.2 6 12.3917 0.7491
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.2 8 12.2413 0.7468
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.2 10 12.1023 0.7454
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.2 12 11.7064 0.7382
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.2 14 11.5514 0.7379
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.2 16 12.0952 0.7467
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.2 18 11.9854 0.7470
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.2 20 10.7822 0.7305
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.2 22 12.0681 0.7508
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.3 2 12.8417 0.7559
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.3 4 12.6719 0.7541
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.3 6 12.5489 0.7530
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.3 8 12.3809 0.7513
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.3 10 12.1888 0.7488
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.3 12 11.9963 0.7461
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.3 14 11.5514 0.7379
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.3 16 12.0952 0.7467
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.3 18 11.9854 0.7470
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.3 20 10.7822 0.7305
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.3 22 12.0681 0.7508
